adipocyte	GPAM
adipocyte	FASN
adipocyte	ADIPOQ
adipocyte	LAMA2
adipocyte	IGFBP7
adipocyte	FBN1
adipocyte	CIDEC
adipocyte	PLIN5
adipocyte	TRHDE
adipocyte	IGF1
adipocyte	CD96
cardiomyocyte	TTN
cardiomyocyte	MYBPC3
cardiomyocyte	TNNT2
cardiomyocyte	RYR2
cardiomyocyte	PLN
cardiomyocyte	SLC8A1
cardiomyocyte	MYH7
cardiomyocyte	MYL2
cardiomyocyte	IRX3
cardiomyocyte	IRX5
cardiomyocyte	IRX6
cardiomyocyte	MASP1
cardiomyocyte	HEY2
cardiomyocyte	PRDM16
cardiomyocyte	PCDH7
cardiomyocyte	SMYD2
cardiomyocyte	PRELID2
cardiomyocyte	MYH6
cardiomyocyte	CDH13
cardiomyocyte	MYH9
cardiomyocyte	NEXN
cardiomyocyte	CNN1
cardiomyocyte	ANKRD1
cardiomyocyte	FHL1
cardiomyocyte	DUSP27
cardiomyocyte	XIRP1
cardiomyocyte	XIRP2
cardiomyocyte	NDUFB11
cardiomyocyte	NDUFA4
cardiomyocyte	COX7C
cardiomyocyte	COX5B
cardiomyocyte	CRYAB
cardiomyocyte	DLC1
cardiomyocyte	EBF2
cardiomyocyte	SOX5
cardiomyocyte	EBF1
cardiomyocyte	KCNAB1
cardiomyocyte	ALDH1A2
cardiomyocyte	ROR2
cardiomyocyte	SYNPR
cardiomyocyte	ADGRL2
cardiomyocyte	NFXL1
cardiomyocyte	ROBO2
cardiomyocyte	HAMP
cardiomyocyte	SLIT3
cardiomyocyte	BRINP3
cardiomyocyte	GRXCR2
cardiomyocyte	NPPA
cardiomyocyte	MYL7
cardiomyocyte	BMP
cardiomyocyte	MYO18B
cardiomyocyte	XPR1
cardiomyocyte	IGF1R
cardiomyocyte	ROR1
cardiomyocyte	CAMK2D
cardiomyocyte	ANK2
cardiomyocyte	RBM20
cardiomyocyte	BMPR1A
cardiomyocyte	BMPR1B
cardiomyocyte	GPC5
cardiomyocyte	SH3RF2
cardiomyocyte	ATF3
cardiomyocyte	ATF4
cardiomyocyte	NR4A3
cardiomyocyte	NPPB
endocardial	SMOC1
endocardial	NPR3
endocardial	POSTN
endocardial	NRG1
endocardial	EDN1
endocardial	BMP6
endocardial	INHBA
endocardial	OPCML
endocardial	MYO10
endothelial_cell	PECAM1
endothelial_cell	CDH5
endothelial_cell	VWF
endothelial_cell	RGCC
endothelial_cell	CA4
endothelial_cell	CX3CL1
endothelial_cell	CCL2
endothelial_cell	IL6
endothelial_cell	ICAM1
endothelial_cell	SEMA3G
endothelial_cell	EFNB2
endothelial_cell	DLL4
endothelial_cell	NR2F2
endothelial_cell	ACKR1
endothelial_cell	SMOC1
endothelial_cell	NPR3
endothelial_cell	PROX1
endothelial_cell	TBX1
endothelial_cell	PDPN
endothelial_cell	BMX
endothelial_cell	FLT2
endothelial_cell	TMEM164
endothelial_cell	DCM
endothelial_cell	HCM
endothelial_cell	KIT
endothelial_cell	NRP2
endothelial_cell	COL15A1
endothelial_cell	PCDH17
endothelial_cell	ITGA6
endothelial_cell	POSTN
endothelial_cell	NRG1
endothelial_cell	EDN1
endothelial_cell	BMP6
endothelial_cell	INHBA
endothelial_cell	OPCML
endothelial_cell	MYO10
fibroblast	DCN
fibroblast	GSN
fibroblast	PDGFRA
fibroblast	POSTN
fibroblast	TNC
fibroblast	ELN
fibroblast	ABCA6
fibroblast	ABCA8
fibroblast	ACBA9
fibroblast	MYH11
fibroblast	FAP
fibroblast	CHAD
fibroblast	COMP
fibroblast	NPPA
fibroblast	ADAMTS4
