Adipo-.	0	Adipo
Adipo-.	1	Adipo
Adipo-.	2	Inter-FB-Adipo
Adipo-.	3	Inter-Endo-Adipo
Adipo-.	4	Adipo
Adipo-.	5	Adipo
Adipo-.	6	Inter-CM-Adipo
Adipo-.	7	Inter-Macro-Lympho-Adipo
Adipo-.	8	Inter-FB-Adipo
CM-.	0	vCM-2
CM-.	1	vCM-3
CM-.	2	vCM-2
CM-.	3	vCM-2
CM-.	4	vCM-2
CM-.	5	vCM-2
CM-.	6	vCM-3
CM-.	7	vCM-2
CM-.	8	vCM-4
CM-.	9	vCM-2
CM-.	10	vCM-5
CM-.	11	vCM-6
EC-.	0	EC-cap
EC-.	1	EC-cap
EC-.	2	EC-cap
EC-.	3	EC-cap
EC-.	4	EC-cap
EC-.	5	EC-art
EC-.	6	EC-cap
EC-.	7	EC-cap
EC-.	8	EC-cap
Endoc-.	0	Inter-FB-Endoc
Endoc-.	1	Endoc-1
Endoc-.	2	Endoc-1
Endoc-.	3	Endoc-1
Endoc-.	4	Inter-CM-Endoc
Endoc-.	5	Endoc-1
Endoc-.	6	Endoc-2
Endoc-.	7	Endoc-1
Endoc-.	8	Endoc-1
Endoc-.	9	Endoc-1
Endoc-.	10	Endoc-1
Epic-.	0	Epic-1
Epic-.	1	Epic-1
Epic-.	2	Epic-1
Epic-.	3	Epic-1
Epic-.	4	Inter-FB-Epic
Epic-.	5	Inter-EC-Epic
Epic-.	6	Epic-1
Epic-.	7	Inter-CM-Epic
Epic-.	8	Epic-2
FB-.	0	FB-1
FB-.	1	FB-2
FB-.	2	FB-3
FB-.	3	FB-4
FB-.	4	FB-2
FB-.	5	FB-1
FB-.	6	FB-5
FB-.	7	FB-2
FB-.	8	FB-2
Lympho-.	0	Lympho-1
Lympho-.	1	Inter-EC-Lympho
Lympho-.	2	Lympho-1
Lympho-.	3	Inter-FB-Lympho
Lympho-.	4	Inter-Macro-Lympho-Mast
Lympho-.	5	Inter-FB-Lympho
Lympho-.	6	Inter-SMC-PC-Lympho
Lympho-.	7	Lympho-1
Lympho-.	8	Lympho-1
Lympho-.	9	Lympho-Cycling
Lympho-.	10	Inter-Endoc-Lympho
Macro-.	0	Macro-2
Macro-.	1	Macro-2
Macro-.	2	Macro-2
Macro-.	3	Macro-2
Macro-.	4	Macro-3
Macro-.	5	Macro-4
Macro-.	6	Macro-2
Macro-.	7	Macro-2
Macro-.	8	Macro-2
Macro-.	9	Macro-2
Macro-.	10	Macro-5
Macro-.	11	Macro-3
Mast-.	0	Mast
Mast-.	1	Inter-CM-Mast
Mast-.	2	Inter-FB-Mast
Mast-.	3	Mast
Mast-.	4	Inter-CM-Mast
Mast-.	5	Mast
Mast-.	6	Mast
Mast-.	7	Inter-Macro-Mast
Mast-.	8	Inter-Endo-Mast
Mast-.	9	Inter-SMC-PC-Mast
Neuro-.	0	Purkinje
Neuro-.	1	Neuro
Neuro-.	2	Neuro
Neuro-.	3	Inter-CM-Neuro
Neuro-.	4	Inter-EC-Neuro
Neuro-.	5	Inter-MP-Neuro
Neuro-.	6	Inter-CM-Neuro
Neuro-.	7	Neuro
Neuro-.	8	Neuro
Neuro-.	9	Inter-Lympho-Neuro
PC-.	0	PC-1
PC-.	1	PC-2
PC-.	2	PC-2
PC-.	3	PC-1
PC-.	4	PC-1
PC-.	5	PC-3
PC-.	6	PC-1
PC-.	7	PC-1
PC-.	8	PC-2
SMC-.	0	SMC-1
SMC-.	1	Inter-FB-SMC
SMC-.	2	SMC-1
SMC-.	3	SMC-2
SMC-.	4	SMC-2
SMC-.	5	Inter-CM-SMC
SMC-.	6	Inter-Lympho-SMC
SMC-.	7	SMC-1
