atrial	endocardial	2	p
atrial	endocardial	3	p
atrial	endocardial	4	f
atrial	endocardial	5	p
atrial	endothelial_cell	0	p
atrial	endothelial_cell	1	p
atrial	endothelial_cell	2	p
atrial	endothelial_cell	3	f
atrial	endothelial_cell	4	p
atrial	endothelial_cell	5	p
atrial	endothelial_cell	6	p
atrial	endothelial_cell	7	p
atrial	endothelial_cell	8	f
atrial	endothelial_cell	9	p
atrial	fibroblast	0	p
atrial	fibroblast	1	p
atrial	fibroblast	2	p
atrial	fibroblast	3	p
atrial	fibroblast	4	p
atrial	fibroblast	5	p
atrial	fibroblast	6	p
atrial	fibroblast	7	f
atrial	fibroblast	8	f
atrial	fibroblast	9	f
atrial	lymphocyte	0	p
atrial	lymphocyte	1	f
atrial	lymphocyte	2	p
atrial	lymphocyte	3	f
atrial	lymphocyte	4	p
atrial	macrophage	0	p
atrial	macrophage	1	p
atrial	macrophage	2	p
atrial	macrophage	3	p
atrial	macrophage	4	f
atrial	macrophage	5	f
atrial	macrophage	6	p
atrial	macrophage	7	p
atrial	macrophage	8	f
atrial	macrophage	9	f
atrial	mast_cell	0	p
atrial	mast_cell	1	p
atrial	mesothelial_cell	0	f
atrial	mesothelial_cell	1	p
atrial	mesothelial_cell	2	p
atrial	mesothelial_cell	3	p
atrial	mesothelial_cell	4	p
atrial	mesothelial_cell	5	p
atrial	mesothelial_cell	6	f
atrial	mesothelial_cell	7	p
atrial	mesothelial_cell	8	p
atrial	neuronal	0	p
atrial	neuronal	1	p
atrial	neuronal	2	p
atrial	neuronal	3	p
atrial	pericyte	0	p
atrial	pericyte	1	p
atrial	pericyte	2	p
atrial	pericyte	3	p
atrial	pericyte	4	p
atrial	smooth_muscle_cell	0	p
atrial	smooth_muscle_cell	1	p
atrial	smooth_muscle_cell	2	p
