atrial	endothelial_cell	3	endothelial_cell	endothelial_cell-capillary-RGS5+
atrial	endothelial_cell	4	endothelial_cell	endothelial_cell-arterial-NKAIN2-
atrial	endothelial_cell	5	endothelial_cell	endothelial_cell-arterial-NKAIN2+
atrial	endothelial_cell	6	endothelial_cell	endothelial_cell-CDH19+
atrial	endothelial_cell	7	endothelial_cell	endothelial_cell-arterial-NKAIN2+
atrial	fibroblast	0	fibroblast	fibroblast-ACSM3+
atrial	fibroblast	1	fibroblast	fibroblast-MFAP5+
atrial	fibroblast	2	fibroblast	fibroblast-KAZN+
atrial	fibroblast	3	fibroblast	fibroblast-KAZN+
atrial	fibroblast	4	*	*
atrial	fibroblast	5	fibroblast	fibroblast-ACSM3+
atrial	lymphocyte	0	lymphocyte	lymphocyte-T
atrial	lymphocyte	1	lymphocyte	lymphocyte-NK
atrial	lymphocyte	2	*	*
atrial	macrophage	0	macrophage	macrophage-F13A1+
atrial	macrophage	1	macrophage	macrophage-CD74+
atrial	macrophage	2	macrophage	macrophage-F13A1+
atrial	macrophage	3	macrophage	macrophage-F13A1+
atrial	macrophage	4	macrophage	macrophage-cycling
atrial	macrophage	5	*	*
atrial	mast_cell	0	mast_cell	mast_cell
atrial	mast_cell	1	mast_cell	mast_cell
atrial	mesothelial_cell	0	mesothelial_cell	mesothelial_cell-OGN+
atrial	mesothelial_cell	1	mesothelial_cell	mesothelial_cell-NELL1+
atrial	mesothelial_cell	2	mesothelial_cell	mesothelial_cell-CCBE1+
atrial	mesothelial_cell	3	mesothelial_cell	mesothelial_cell-PDLIM3+
atrial	mesothelial_cell	4	mesothelial_cell	mesothelial_cell-PDLIM3+
atrial	mesothelial_cell	5	mesothelial_cell	mesothelial_cell-CCBE1+
atrial	neuronal	0	neuronal	neuronal
atrial	neuronal	1	*	*
atrial	neuronal	2	neuronal	neuronal
atrial	pericyte	0	pericyte	pericyte-IL1RAPL1+
atrial	pericyte	1	*	*
atrial	pericyte	2	pericyte	pericyte-NDUFA4L2+
atrial	pericyte	3	pericyte	pericyte-CHSY3+
atrial	smooth_muscle_cell	0	smooth_muscle_cell	smooth_muscle_cell-KCNT2+
atrial	smooth_muscle_cell	1	smooth_muscle_cell	smooth_muscle_cell-ZFHX3+
atrial	smooth_muscle_cell	2	smooth_muscle_cell	smooth_muscle_cell-KCNT2+
