Name	Description
RYR2	CM normal pattern
SGCD	CM normal pattern
MLIP	CM normal pattern
RBM20	CM normal pattern
TTN	CM normal pattern
SORBS2	CM normal pattern
DMD	CM normal pattern
MYH7	CM aberrant pattern
TCAP	CM abberant pattern
MB	CM abberant pattern
DES	CM abberant pattern
ACTC1	CM abberant pattern
MYL7	CM abberant pattern
TNNC1	CM abberant pattern
MYL2	CM abberant pattern
